water,style,mode,error_ppm,old_error_ppm,conditional_lower_bound_ppm,gap_ppm,salts,ms,ra,doses
"Osmosée","01A","minimum","3.952","4.538","3.964","-0.012","2","6.70","-44.4","{""gypse"":2.3,""cacl2"":2.6}"
"Osmosée","01A","target","5.719","6.138","5.727","-0.008","2","3.92","-44.4","{""gypse"":2.3,""cacl2"":2.6}"
"Osmosée","01A","modest","5.719","6.138","5.727","-0.008","2","3.51","-44.4","{""gypse"":2.3,""cacl2"":2.6}"
"Osmosée","05B","minimum","1.630","2.387","1.522","0.108","2","2.95","-61.4","{""gypse"":3.4,""cacl2"":3.4}"
"Osmosée","05B","target","4.698","5.011","4.449","0.249","2","3.04","-61.4","{""gypse"":3.4,""cacl2"":3.4}"
"Osmosée","05B","modest","4.698","5.011","4.449","0.249","2","3.45","-61.4","{""gypse"":3.4,""cacl2"":3.4}"
"Osmosée","05D","minimum","5.843","7.090","5.849","-0.006","2","2.42","-55.8","{""gypse"":3.9,""cacl2"":2.4}"
"Osmosée","05D","target","6.914","7.996","6.919","-0.005","2","2.73","-55.8","{""gypse"":3.9,""cacl2"":2.4}"
"Osmosée","05D","modest","6.914","7.996","6.919","-0.005","2","2.71","-55.8","{""gypse"":3.9,""cacl2"":2.4}"
"Osmosée","04A","minimum","7.163","7.684","7.134","0.030","2","2.68","-47.9","{""gypse"":1.9,""cacl2"":3.3}"
"Osmosée","04A","target","8.410","8.858","8.385","0.025","2","2.67","-47.9","{""gypse"":1.9,""cacl2"":3.3}"
"Osmosée","04A","modest","8.410","8.858","8.385","0.025","2","2.40","-47.9","{""gypse"":1.9,""cacl2"":3.3}"
"Osmosée","06C","minimum","12.352","12.340","12.350","0.002","3","3.58","59.4","{""gypse"":2.4,""cacl2"":5,""nahco3"":4.3}"
"Osmosée","06C","target","8.325","8.662","8.323","0.002","3","3.70","59.4","{""gypse"":2.4,""cacl2"":5,""nahco3"":4.3}"
"Osmosée","06C","modest","7.973","8.323","7.970","0.003","3","3.21","59.4","{""gypse"":2.4,""cacl2"":5,""nahco3"":4.3}"
"Osmosée","08B","minimum","11.454","11.730","11.437","0.018","4","3.13","85.3","{""gypse"":2.4,""cacl2"":4.8,""nahco3"":4.3,""chaux"":0.5}"
"Osmosée","08B","target","6.496","6.971","6.465","0.031","4","3.16","85.3","{""gypse"":2.4,""cacl2"":4.8,""nahco3"":4.3,""chaux"":0.5}"
"Osmosée","08B","modest","6.496","6.971","6.465","0.031","4","3.28","85.3","{""gypse"":2.4,""cacl2"":4.8,""nahco3"":4.3,""chaux"":0.5}"
"Osmosée","10A","minimum","2.484","3.153","2.454","0.030","2","2.42","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","10A","target","6.916","7.184","6.592","0.324","2","2.79","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","10A","modest","6.916","7.184","6.592","0.324","2","2.95","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","11C","minimum","4.828","5.274","4.815","0.013","2","2.32","-141.2","{""gypse"":11.6,""cacl2"":4.6}"
"Osmosée","11C","target","9.915","10.140","9.457","0.458","2","2.28","-141.2","{""gypse"":11.6,""cacl2"":4.6}"
"Osmosée","11C","modest","7.526","7.820","7.448","0.078","2","2.49","-141.2","{""gypse"":11.6,""cacl2"":4.6}"
"Osmosée","13C","minimum","14.330","14.332","14.344","-0.014","3","4.07","68.4","{""gypse"":3.5,""cacl2"":6.2,""nahco3"":5.3}"
"Osmosée","13C","target","7.275","7.549","7.268","0.007","3","4.21","68.4","{""gypse"":3.5,""cacl2"":6.2,""nahco3"":5.3}"
"Osmosée","13C","modest","9.274","9.420","9.278","-0.003","3","5.33","68.4","{""gypse"":3.5,""cacl2"":6.2,""nahco3"":5.3}"
"Osmosée","15B","minimum","14.252","14.268","14.245","0.006","4","3.42","115.9","{""gypse"":3,""cacl2"":5.9,""nahco3"":6.5,""chaux"":0.1}"
"Osmosée","15B","target","7.991","8.020","7.909","0.082","4","3.00","115.9","{""gypse"":3,""cacl2"":5.9,""nahco3"":6.5,""chaux"":0.1}"
"Osmosée","15B","modest","11.731","11.750","11.703","0.028","4","3.07","115.9","{""gypse"":3,""cacl2"":5.9,""nahco3"":6.5,""chaux"":0.1}"
